hostname,country,operating_system_name,operating_system_provider,operating_system_installation_date,operating_system_lifecycle_status,os_is_virtual,is_internet_facing,image_purpose,os_system_id,performance_score
host-6930,uk,suse linux,redhat,2016-02-10,planned,True,yes,production,sys-30313,55.48
host-6337,,ubuntu 22.04,amazon,2021-11-29,eol,True,no,testing,sys-69014,51.78
host-5326,brazil,centos 7,,2010-12-22,eos,False,no,testing,sys-78027,97.43
host-2279,usa,,redhat,2010-11-02,eol,True,yes,dr,sys-88988,94.06
host-8713,india,rhel 8,google,2021-10-23,eol,False,yes,dr,sys-29294,91.04
host-2800,japan,z/os,canonical,2018-01-24,planned,True,no,dr,sys-32425,60.97
host-1614,,windows server 2019,canonical,2020-09-10,planned,False,yes,production,sys-77054,64.04
host-6021,germany,suse linux,microsoft,2010-09-20,active,True,yes,production,sys-50929,86.72
host-4670,india,suse linux,google,2023-01-13,eos,True,no,backup,sys-96118,91.28
host-2945,india,,,2012-04-30,eos,False,yes,dev,sys-87105,94.13
host-5479,usa,rhel 8,suse,2016-07-21,active,False,no,testing,sys-62531,90.48
host-2499,,z/os,microsoft,2012-09-03,eol,True,yes,dev,sys-68107,75.6
,,ubuntu 22.04,redhat,2013-08-04,,True,no,testing,sys-64064,68.7
host-2246,usa,z/os,canonical,2015-10-26,eos,False,no,production,sys-60183,73.82
host-1721,usa,ubuntu 22.04,google,2021-06-04,eos,False,no,production,sys-79650,69.43
host-1804,japan,,,2017-06-19,,False,no,dr,sys-95212,58.18
host-6850,france,,suse,2017-08-08,active,False,no,dr,sys-73851,57.3
host-9757,india,,amazon,2022-01-18,eol,True,yes,dr,sys-86835,52.35
host-1077,,z/os,amazon,2015-01-31,eos,True,no,dev,sys-57279,57.74
host-2623,brazil,,suse,2016-12-03,active,True,no,dr,sys-48768,57.84
host-9982,france,z/os,ibm,2016-01-26,eol,False,yes,dev,sys-37830,83.12
host-5866,,centos 7,,2015-11-07,active,False,yes,backup,sys-37255,61.87
host-1137,usa,ubuntu 22.04,canonical,2023-05-27,eol,False,yes,backup,sys-74194,54.22
host-6560,japan,suse linux,canonical,2013-10-04,eos,True,no,production,sys-31982,81.17
host-3218,usa,suse linux,google,2015-10-21,eos,True,yes,backup,sys-19805,80.1
host-9676,brazil,rhel 8,amazon,2019-04-12,,True,yes,dev,sys-18316,53.03
host-6963,france,ubuntu 22.04,ibm,2015-07-02,active,True,yes,backup,sys-45601,62.96
host-5638,uk,windows server 2019,google,2017-04-14,active,True,no,production,sys-11554,52.75
